Combination,WT,PF,ST,Score
FCFS + FIFO + FCFS,121742.89,49,1290,0.5217309875171404
FCFS + FIFO + SSTF,121742.89,49,274,0.759122367723167
FCFS + FIFO + SCAN,121742.89,49,287,0.7547283820130627
FCFS + LRU + FCFS,121742.89,50,1290,0.5176205254515913
FCFS + LRU + SSTF,121742.89,50,274,0.750451413536462
FCFS + LRU + SCAN,121742.89,50,287,0.7461569498160113
FCFS + OPTIMAL + FCFS,121742.89,30,1290,0.6144375568082294
FCFS + OPTIMAL + SSTF,121742.89,30,274,0.9726502641833064
FCFS + OPTIMAL + SCAN,121742.89,30,287,0.9654484490663237
SJF + FIFO + FCFS,113390.51,49,1290,0.5294989689195572
SJF + FIFO + SSTF,113390.51,49,274,0.7756797107598996
SJF + FIFO + SCAN,113390.51,49,287,0.7710925379429896
SJF + LRU + FCFS,113390.51,50,1290,0.525265692009593
SJF + LRU + SSTF,113390.51,50,274,0.7666286392807833
SJF + LRU + SCAN,113390.51,50,287,0.7621475841563943
SJF + OPTIMAL + FCFS,113390.51,30,1290,0.6252399732581947
SJF + OPTIMAL + SSTF,113390.51,30,274,1.0
SJF + OPTIMAL + SCAN,113390.51,30,287,0.9923890627904214
PRIORITY + FIFO + FCFS,122758.58,49,1290,0.5208018788047911
PRIORITY + FIFO + SSTF,122758.58,49,274,0.7571569942722574
PRIORITY + FIFO + SCAN,122758.58,49,287,0.7527856657248653
PRIORITY + LRU + FCFS,122758.58,50,1290,0.5167059862193987
PRIORITY + LRU + SSTF,122758.58,50,274,0.7485306251906295
PRIORITY + LRU + SCAN,122758.58,50,287,0.7442580542079767
PRIORITY + OPTIMAL + FCFS,122758.58,30,1290,0.613149332849396
PRIORITY + OPTIMAL + SSTF,122758.58,30,274,0.9694260879654657
PRIORITY + OPTIMAL + SCAN,122758.58,30,287,0.9622717637910199
RR + FIFO + FCFS,226056.16,49,1290,0.4409417365553795
RR + FIFO + SSTF,226056.16,49,274,0.5993452456213103
RR + FIFO + SCAN,226056.16,49,287,0.5966029225912254
RR + LRU + FCFS,226056.16,50,1290,0.4380021249783436
RR + LRU + SSTF,226056.16,50,274,0.5939271982011878
RR + LRU + SCAN,226056.16,50,287,0.5912341205672095
RR + OPTIMAL + FCFS,226056.16,30,1290,0.5053870672827041
RR + OPTIMAL + SSTF,226056.16,30,274,0.7250077945535456
RR + OPTIMAL + SCAN,226056.16,30,287,0.7209988190838749
